Date,COUNTY,Average DAILY_AQI_VALUE
02/25/2020,Queens,40.5
02/25/2020,Steuben,59.0
02/26/2020,Albany,63.0
02/26/2020,Erie,20.0
02/26/2020,Essex,17.0
02/26/2020,Monroe,37.5
02/26/2020,Queens,21.5
02/26/2020,Steuben,35.0
02/27/2020,Albany,23.0
02/27/2020,Erie,15.0
02/27/2020,Essex,3.0
02/27/2020,Monroe,15.5
02/27/2020,Queens,10.0
02/27/2020,Steuben,8.0
02/28/2020,Albany,14.0
02/28/2020,Erie,18.0
02/28/2020,Essex,2.0
02/28/2020,Monroe,16.5
02/28/2020,Queens,24.5
02/28/2020,Steuben,15.0
02/29/2020,Albany,21.0
02/29/2020,Erie,26.0
02/29/2020,Essex,0.0
02/29/2020,Monroe,25.0
02/29/2020,Queens,17.5
02/29/2020,Steuben,15.0
03/01/2020,Albany,23.0
03/01/2020,Erie,28.0
03/01/2020,Essex,0.0
03/01/2020,Monroe,29.0
03/01/2020,Queens,22.5
03/01/2020,Steuben,20.0
03/02/2020,Albany,42.0
03/02/2020,Erie,43.0
03/02/2020,Essex,0.0
03/02/2020,Monroe,37.5
03/02/2020,Queens,46.5
03/02/2020,Steuben,33.0
03/03/2020,Albany,55.0
03/03/2020,Erie,33.0
03/03/2020,Essex,7.0
03/03/2020,Monroe,47.5
03/03/2020,Queens,46.0
03/03/2020,Steuben,24.0
03/04/2020,Albany,31.0
03/04/2020,Erie,26.0
03/04/2020,Essex,16.0
03/04/2020,Monroe,30.0
03/04/2020,Queens,20.0
03/04/2020,Steuben,24.0
03/05/2020,Albany,18.0
03/05/2020,Erie,18.0
03/05/2020,Essex,13.0
03/05/2020,Monroe,14.5
03/05/2020,Queens,21.5
03/05/2020,Steuben,20.0
03/06/2020,Albany,40.0
03/06/2020,Erie,23.0
03/06/2020,Essex,14.0
03/06/2020,Monroe,27.0
03/06/2020,Queens,23.5
03/06/2020,Steuben,36.0
03/07/2020,Albany,15.0
03/07/2020,Erie,15.0
03/07/2020,Essex,8.0
03/07/2020,Monroe,14.5
03/07/2020,Queens,12.0
03/07/2020,Steuben,14.0
03/08/2020,Albany,29.0
03/08/2020,Erie,23.0
03/08/2020,Essex,12.0
03/08/2020,Monroe,24.0
03/08/2020,Queens,18.5
03/08/2020,Steuben,21.0
03/09/2020,Albany,32.0
03/09/2020,Erie,44.0
03/09/2020,Essex,28.0
03/09/2020,Monroe,45.0
03/09/2020,Queens,46.0
03/09/2020,Steuben,30.0
03/10/2020,Albany,34.0
03/10/2020,Erie,32.0
03/10/2020,Essex,18.0
03/10/2020,Monroe,34.0
03/10/2020,Queens,37.0
03/10/2020,Steuben,24.0
03/11/2020,Albany,24.0
03/11/2020,Erie,20.0
03/11/2020,Essex,11.0
03/11/2020,Monroe,22.0
03/11/2020,Queens,21.5
03/11/2020,Steuben,29.0
03/12/2020,Albany,30.0
03/12/2020,Erie,35.0
03/12/2020,Essex,16.0
03/12/2020,Monroe,35.0
03/12/2020,Queens,31.0
03/12/2020,Steuben,47.0
03/13/2020,Albany,18.0
03/13/2020,Erie,24.0
03/13/2020,Essex,8.0
03/13/2020,Monroe,24.0
03/13/2020,Queens,14.5
03/13/2020,Steuben,15.0
03/14/2020,Albany,16.0
03/14/2020,Erie,21.0
03/14/2020,Essex,11.0
03/14/2020,Monroe,18.5
03/14/2020,Queens,12.0
03/14/2020,Steuben,23.0
03/15/2020,Albany,19.0
03/15/2020,Erie,14.0
03/15/2020,Essex,12.0
03/15/2020,Monroe,16.5
03/15/2020,Queens,14.5
03/15/2020,Steuben,20.0
03/16/2020,Albany,20.0
03/16/2020,Erie,15.0
03/16/2020,Essex,7.0
03/16/2020,Monroe,22.0
03/16/2020,Queens,15.5
03/16/2020,Steuben,24.0
03/17/2020,Albany,27.0
03/17/2020,Erie,32.0
03/17/2020,Essex,13.0
03/17/2020,Monroe,35.5
03/17/2020,Queens,20.0
03/17/2020,Steuben,23.0
03/18/2020,Albany,21.0
03/18/2020,Erie,25.0
03/18/2020,Essex,13.0
03/18/2020,Monroe,27.0
03/18/2020,Queens,25.0
03/18/2020,Steuben,44.0
03/19/2020,Albany,22.0
03/19/2020,Erie,23.0
03/19/2020,Essex,9.0
03/19/2020,Monroe,28.0
03/19/2020,Queens,15.5
03/19/2020,Steuben,19.0
03/20/2020,Albany,23.0
03/20/2020,Erie,22.0
03/20/2020,Essex,7.0
03/20/2020,Monroe,18.5
03/20/2020,Queens,32.0
03/20/2020,Steuben,15.0
03/21/2020,Albany,18.0
03/21/2020,Erie,20.0
03/21/2020,Essex,18.0
03/21/2020,Monroe,20.0
03/21/2020,Queens,10.0
03/21/2020,Steuben,17.0
03/22/2020,Albany,20.0
03/22/2020,Erie,19.0
03/22/2020,Essex,12.0
03/22/2020,Monroe,24.0
03/22/2020,Queens,19.0
03/22/2020,Steuben,23.0
03/23/2020,Albany,23.0
03/23/2020,Erie,17.0
03/23/2020,Essex,8.0
03/23/2020,Monroe,22.0
03/23/2020,Queens,10.5
03/23/2020,Steuben,18.0
03/24/2020,Albany,30.0
03/24/2020,Erie,20.0
03/24/2020,Essex,13.0
03/24/2020,Monroe,16.0
03/24/2020,Queens,12.5
03/24/2020,Steuben,16.0
03/25/2020,Albany,45.0
03/25/2020,Erie,25.0
03/25/2020,Essex,16.0
03/25/2020,Monroe,18.0
03/25/2020,Queens,17.0
03/25/2020,Steuben,23.0
03/26/2020,Albany,38.0
03/26/2020,Erie,27.0
03/26/2020,Essex,10.0
03/26/2020,Monroe,24.0
03/26/2020,Queens,24.5
03/26/2020,Steuben,21.0
03/27/2020,Albany,19.0
03/27/2020,Erie,17.0
03/27/2020,Essex,11.0
03/27/2020,Monroe,18.5
03/27/2020,Queens,24.5
03/27/2020,Steuben,25.0
