date,county,cases,deaths
3/22/2020,Delaware,3,0
3/22/2020,Dutchess,82,0
3/22/2020,Erie,54,0
3/22/2020,Essex,3,0
3/22/2020,Fulton,1,0
3/22/2020,Genesee,1,0
3/22/2020,Greene,2,0
3/22/2020,Hamilton,2,0
3/22/2020,Herkimer,4,0
3/22/2020,Jefferson,1,0
3/22/2020,Livingston,2,0
3/22/2020,Madison,1,0
3/22/2020,Monroe,57,0
3/22/2020,Montgomery,3,0
3/22/2020,Nassau,1900,7
3/22/2020,New York,9045,99
3/22/2020,Niagara,6,0
3/22/2020,Oneida,5,0
3/22/2020,Onondaga,29,0
3/22/2020,Ontario,6,0
3/22/2020,Orange,247,0
3/22/2020,Putnam,37,0
3/22/2020,Rensselaer,26,0
3/22/2020,Rockland,455,3
3/22/2020,Saratoga,41,0
3/22/2020,Schenectady,39,0
3/22/2020,Schoharie,1,0
3/22/2020,St. Lawrence,1,0
3/22/2020,Steuben,3,0
3/22/2020,Suffolk,1034,12
3/22/2020,Sullivan,16,0
3/22/2020,Tioga,1,0
3/22/2020,Tompkins,13,0
3/22/2020,Ulster,26,0
3/22/2020,Warren,1,0
3/22/2020,Washington,1,0
3/22/2020,Wayne,3,0
3/22/2020,Westchester,1873,0
3/22/2020,Wyoming,2,0
3/23/2020,Albany,127,0
3/23/2020,Allegany,2,0
3/23/2020,Broome,7,1
3/23/2020,Cayuga,2,0
3/23/2020,Chenango,3,0
3/23/2020,Clinton,6,0
3/23/2020,Columbia,10,0
3/23/2020,Cortland,2,0
3/23/2020,Delaware,3,0
3/23/2020,Dutchess,100,0
3/23/2020,Erie,87,0
3/23/2020,Essex,3,0
3/23/2020,Fulton,1,0
3/23/2020,Genesee,1,0
3/23/2020,Greene,4,0
3/23/2020,Hamilton,2,0
3/23/2020,Herkimer,4,0
3/23/2020,Jefferson,2,0
3/23/2020,Livingston,3,0
3/23/2020,Madison,4,0
3/23/2020,Monroe,76,0
3/23/2020,Montgomery,3,0
3/23/2020,Nassau,2442,9
3/23/2020,New York,12305,131
3/23/2020,Niagara,10,0
3/23/2020,Oneida,7,0
3/23/2020,Onondaga,52,0
3/23/2020,Ontario,6,0
3/23/2020,Orange,389,0
3/23/2020,Oswego,1,0
3/23/2020,Otsego,1,0
3/23/2020,Putnam,45,0
3/23/2020,Rensselaer,29,0
3/23/2020,Rockland,592,5
3/23/2020,Saratoga,53,0
3/23/2020,Schenectady,44,0
3/23/2020,Schoharie,1,0
3/23/2020,St. Lawrence,1,0
3/23/2020,Steuben,4,0
3/23/2020,Suffolk,1458,13
3/23/2020,Sullivan,23,0
3/23/2020,Tioga,1,0
3/23/2020,Tompkins,15,0
3/23/2020,Ulster,35,0
3/23/2020,Warren,2,0
3/23/2020,Washington,3,0
3/23/2020,Wayne,6,0
3/23/2020,Westchester,2894,0
3/23/2020,Wyoming,4,0
3/24/2020,Albany,146,0
3/24/2020,Allegany,2,0
3/24/2020,Broome,9,1
3/24/2020,Cayuga,2,0
3/24/2020,Chemung,1,0
3/24/2020,Chenango,3,0
3/24/2020,Clinton,8,0
3/24/2020,Columbia,11,0
3/24/2020,Cortland,2,0
3/24/2020,Delaware,3,0
3/24/2020,Dutchess,124,0
3/24/2020,Erie,107,0
3/24/2020,Essex,3,0
3/24/2020,Fulton,1,0
3/24/2020,Genesee,1,0
3/24/2020,Greene,4,0
3/24/2020,Hamilton,2,0
